genus	family	order	class	phylum	superkingdom
Sandaracinobacter	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Sandaracinus	Sandaracinaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Schaalia	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Schlegelella	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Schlesneria	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
Schwartzia	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Sedimentibacter			Tissierellia	Firmicutes	Bacteria
Sedimenticola			Gammaproteobacteria	Proteobacteria	Bacteria
Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Segetibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Selenomonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Serinicoccus	Intrasporangiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Serpentinomonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Shinella	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Shuttleworthia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Siccationidurans	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Siccirubricoccus	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Sideroxydans	Gallionellaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Silanimonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Simonsiella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Simplicispira	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Singulisphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
Sinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Sinimarinibacterium	Sinobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Skermanella	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Sneathia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Sneathiella	Sneathiellaceae	Sneathiellales	Alphaproteobacteria	Proteobacteria	Bacteria
Snodgrassella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Soehngenia	Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Solibacillus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Solimonas	Sinobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
Solirubrobacter	Solirubrobacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
Solitalea	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Solobacterium	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Sorangium	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Sphaerobacter	Sphaerobacteraceae	Sphaerobacterales	Thermomicrobia	Chloroflexi	Bacteria
Sphingoaurantiacus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Sphingobacterium	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Sphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Sphingosinicella	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Spiroplasma	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
Spongiibacter	Spongiibacteraceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Sporacetigenium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Sporanaerobacter	Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Sporichthya	Sporichthyaceae	Sporichthyales	Actinobacteria	Actinobacteria	Bacteria
Sporobacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Sporocytophaga	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Sporomusa	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Sporosarcina	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Stanieria	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria
Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Starkeya	Xanthobacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Stella	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Stenotrophobacter	Blastocatellaceae	Blastocatellales	Blastocatellia	Acidobacteria	Bacteria
Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Steroidobacter	Steroidobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
Stigmatella	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Stomatobaculum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Streptobacillus	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria
Streptosporangium	Streptosporangiaceae	Streptosporangiales	Actinobacteria	Actinobacteria	Bacteria
Subdoligranulum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Succinatimonas	Succinivibrionaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Succiniclasticum	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Succinimonas	Succinivibrionaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Succinivibrio	Succinivibrionaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Suicoccus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Sulfuricaulis	Acidiferrobacteraceae	Acidiferrobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Sulfuricella	Sulfuricellaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Sulfuriferula	Sulfuricellaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Sulfuriflexus	Granulosicoccaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Sulfurisoma	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Sulfuritalea	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Sunxiuqinia	Prolixibacteraceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria
Sutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria
Syntrophococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Syntrophorhabdus	Syntrophorhabdaceae	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
Syntrophus	Syntrophaceae	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
Tabrizicola	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Tahibacter	Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Taibaiella	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Tannerella	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Tardiphaga	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Tatumella	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Tellurimicrobium	Blastocatellaceae	Blastocatellales	Blastocatellia	Acidobacteria	Bacteria
Telmatocola	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
Tepidibaculum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Tepidiforma	Tepidiformaceae	Tepidiformales	Tepidiformia	Chloroflexi	Bacteria
Tepidimicrobium	Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Tepidimonas		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Tepidisphaera	Tepidisphaeraceae	Tepidisphaerales	Phycisphaerae	Planctomycetes	Bacteria
Terrabacter	Intrasporangiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
Terrimicrobium	Terrimicrobiaceae	Terrimicrobiales	Terrimicrobia	Verrucomicrobia	Bacteria
Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Terrisporobacter	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Tessaracoccus	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Thauera	Zoogloeaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
Thermacetogenium	Thermoanaerobacteraceae	Thermoanaerobacterales	Clostridia	Firmicutes	Bacteria
Thermaerobacter	Clostridiales Family XVII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Thermanaerothrix	Anaerolineaceae	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria
Thermoanaerobaculum	Thermoanaerobaculaceae	Thermoanaerobaculales	Thermoanaerobaculia	Acidobacteria	Bacteria
Thermobaculum					Bacteria
Thermodesulforhabdus	Syntrophobacteraceae	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
Thermodesulfovibrio	Nitrospiraceae	Nitrospirales	Nitrospira	Nitrospirae	Bacteria
Thermoflavifilum	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Thermogutta	Thermoguttaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
Thermomarinilinea	Anaerolineaceae	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria
Thermomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Thermostilla	Thermoguttaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
Thermotomaculum	Thermotomaculaceae	Thermotomaculales	Holophagae	Acidobacteria	Bacteria
Thioalkalivibrio	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Thiobacillus	Thiobacillaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Thiobacter		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Tidjanibacter	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Timonella		Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Tissierella	Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Tolumonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Treponema	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
Trichococcus	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Trichocoleus	Trichocoleusaceae	Synechococcales		Cyanobacteria	Bacteria
Trichodesmium	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
Trichormus	Nostocaceae	Nostocales		Cyanobacteria	Bacteria
Trinickia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Tropicihabitans	Cellulomonadaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Truepera	Trueperaceae	Trueperales	Deinococci	Deinococcus-Thermus	Bacteria
Tumebacillus	Alicyclobacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Tundrisphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
Turicibacter	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Tuwongella	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
Tychonema	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
Tyzzerella	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Uliginosibacterium	Zoogloeaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
Undibacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Ureibacillus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Urmitella	Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Uruburuella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Vagococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Vampirococcus					Bacteria
Vampirovibrio		Vampirovibrionales		Candidatus Melainabacteria	Bacteria
Variibacter	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Veillonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Verrucomicrobium	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
Vicinamibacter	Vicinamibacteraceae		Vicinamibacteria	Acidobacteria	Bacteria
Vicingus	Vicingaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Victivallis	Victivallaceae	Victivallales	Lentisphaeria	Lentisphaerae	Bacteria
Virgibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Viridibacterium	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
Vitiosangium	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Vulgatibacter	Vulgatibacteraceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Weissella	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Wenzhouxiangella	Wenzhouxiangellaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Woeseia	Woeseiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Xenophilus	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Xylophilus		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Yaniella	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Youhaiella	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Youngiibacter	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Zavarzinella	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
Zhizhongheella	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Zoogloea	Zoogloeaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
		Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
			Actinobacteria	Actinobacteria	Bacteria
			Betaproteobacteria	Proteobacteria	Bacteria
				Candidatus Saccharibacteria	Bacteria
				Planctomycetes	Bacteria
				Verrucomicrobia	Bacteria
					
			Phycisphaerae	Planctomycetes	Bacteria
	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
		Silvanigrellales	Oligoflexia	Proteobacteria	Bacteria
	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
				Candidatus Gracilibacteria	Bacteria
	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
		Clostridiales	Clostridia	Firmicutes	Bacteria
		Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
	Holosporaceae	Holosporales	Alphaproteobacteria	Proteobacteria	Bacteria
		Bradymonadales	Deltaproteobacteria	Proteobacteria	Bacteria
		Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
			Alphaproteobacteria	Proteobacteria	Bacteria
	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
		Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
		Victivallales	Lentisphaeria	Lentisphaerae	Bacteria
	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
	Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
